Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo
2007-08-22,1.3466,1.3549,1.345,1.3543,0.005792796138135881,-0.0005937801528983488,-0.0001484230055658342,0.0035748864228792865,-0.0067981969999260095,0.00735184910144068,0.005718104856676103,0.9393939393939462,0.004927058753691593,0.000679779514992207,-0.006248096770287814,0.00301217255761099,0.0045757722604139305,39.32885906040264,-0.002465262579744458,1
2007-08-23,1.3549,1.3588,1.3535,1.3564,0.0015506165546776973,0.005792796138135881,-0.0005937801528983488,-0.0001484230055658342,-0.0010415891674726563,0.003911727802789935,0.0011070927743745346,0.5471698113207697,0.004443127962085347,0.0030689591421704243,-0.0040421321604663385,0.00266480441151603,0.004568474498476225,34.964028776978466,-0.0015992996488825581,1
2007-08-24,1.3566,1.3679,1.3553,1.3674,0.008109702152757192,0.0015506165546776973,0.005792796138135881,-0.0005937801528983488,0.0035748864228792865,0.009287925696594387,0.00796107916850945,0.9603174603174646,0.009613254773401803,0.01133817036100182,0.0038836804663353597,0.0038347290494070273,0.0046045642812967535,42.42038216560506,-0.00024223740296176483,0
2007-08-27,1.3672,1.3679,1.3635,1.3641,-0.0024133391838524476,0.008109702152757192,0.0015506165546776973,0.005792796138135881,-0.0001484230055658342,0.003218256290228174,-0.0022674078408425106,0.13636363636367307,0.004684254717397973,0.008681120411724752,0.0016631970833471676,0.00438532746352132,0.0045136496834486724,43.75821287779245,0.0004394564495408559,0
2007-08-28,1.364,1.3679,1.3599,1.36,-0.003005644747452574,-0.0024133391838524476,0.008109702152757192,0.0015506165546776973,-0.0005937801528983488,0.00586510263929603,-0.0029325513196480964,0.01249999999999896,-0.00032342477433766614,0.005151400929765071,-0.001043028602488616,0.004910435762927749,0.004555052450780951,36.70715249662622,0.0006100512177198,1
2007-08-29,1.36,1.368,1.3563,1.3674,0.0054411764705881716,-0.003005644747452574,-0.0024133391838524476,0.008109702152757192,0.005792796138135881,0.00860294117647062,0.005441176470588126,0.9487179487179356,0.0031840124425923655,0.008883248730964244,0.004362963289409771,0.004844738993119241,0.004723875358908751,49.78417266187052,0.0011838688256142421,0
2007-08-30,1.3673,1.3676,1.3593,1.3631,-0.0031446540880503138,0.0054411764705881716,-0.003005644747452574,-0.0024133391838524476,0.0015506165546776973,0.006070357639142818,-0.0030717472390843132,0.45783132530120935,-0.0009527997654646958,0.004199204361278852,0.001465720866501874,0.005365307827138114,0.004733560958189897,45.78146611341629,0.0012309732873308564,0
2007-08-31,1.3631,1.3719,1.362,1.3628,-0.0002200865673831487,-0.0031446540880503138,0.0054411764705881716,-0.003005644747452574,0.008109702152757192,0.007262856723644485,-0.00022008656738314647,0.08080808080807356,-0.000498723853668559,0.0028478288064874846,0.0017789147150062412,0.0036113456493794415,0.004558240692283628,51.23839009287931,0.0011979398775816604,0
2007-09-03,1.3629,1.3654,1.3603,1.3622,-0.00044027003228641615,-0.0002200865673831487,-0.0031446540880503138,0.0054411764705881716,-0.0024133391838524476,0.0037420206911731473,-0.000513610683102152,0.37254901960785425,-0.0006602597021494461,0.0013084194586967524,0.0019675989775840286,0.0034783736263175997,0.004534747733788415,57.766143106457456,0.0010945336220057598,0
2007-09-04,1.3623,1.3625,1.3551,1.3604,-0.00132139186609892,-0.00044027003228641615,-0.0002200865673831487,-0.0031446540880503138,-0.003005644747452574,0.005431990016883266,-0.0013947001394700232,0.7162162162162202,-0.0020393491688551757,-0.0010353867279575546,0.0011296192042624664,0.00321961901690645,0.004462940017850002,66.3326653306615,0.0008733638966949221,1
